rid,date,origin,destination,gbtt_ptd,gbtt_pta,toc_code
202402056728789,2024-02-05,KGX,ABD,1600,2020,GR
202402066728789,2024-02-06,KGX,ABD,1600,2020,GR
202402076728789,2024-02-07,KGX,ABD,1600,2020,GR
202402086728789,2024-02-08,KGX,ABD,1600,2020,GR
202402096728789,2024-02-09,KGX,ABD,1600,2020,GR
202402056728837,2024-02-05,KGX,EDB,1630,2114,GR
202402066728837,2024-02-06,KGX,EDB,1630,2114,GR
202402076728837,2024-02-07,KGX,EDB,1630,2114,GR
202402086728837,2024-02-08,KGX,EDB,1630,2114,GR
202402096728837,2024-02-09,KGX,EDB,1630,2114,GR
202402056728855,2024-02-05,KGX,EDB,1700,2124,GR
202402066728855,2024-02-06,KGX,EDB,1700,2124,GR
202402076728855,2024-02-07,KGX,EDB,1700,2124,GR
202402086728855,2024-02-08,KGX,EDB,1700,2124,GR
202402096728855,2024-02-09,KGX,EDB,1700,2124,GR
202402056728859,2024-02-05,KGX,EDB,1730,2208,GR
202402066728859,2024-02-06,KGX,EDB,1730,2208,GR
202402076728859,2024-02-07,KGX,EDB,1730,2208,GR
202402086728859,2024-02-08,KGX,EDB,1730,2208,GR
202402096728859,2024-02-09,KGX,EDB,1730,2208,GR
202402056728885,2024-02-05,KGX,EDB,1800,2220,GR
202402066728885,2024-02-06,KGX,EDB,1800,2220,GR
202402076728885,2024-02-07,KGX,EDB,1800,2220,GR
202402086728885,2024-02-08,KGX,EDB,1800,2220,GR
202402096728885,2024-02-09,KGX,EDB,1800,2220,GR
202402056728860,2024-02-05,KGX,EDB,1830,2316,GR
202402066728860,2024-02-06,KGX,EDB,1830,2316,GR
202402076728860,2024-02-07,KGX,EDB,1830,2316,GR
202402086728860,2024-02-08,KGX,EDB,1830,2316,GR
202402096728860,2024-02-09,KGX,EDB,1830,2316,GR
202402056728868,2024-02-05,KGX,EDB,1900,2324,GR
202402066728868,2024-02-06,KGX,EDB,1900,2324,GR
202402076728868,2024-02-07,KGX,EDB,1900,2324,GR
202402086728868,2024-02-08,KGX,EDB,1900,2324,GR
202402096728868,2024-02-09,KGX,EDB,1900,2324,GR
202402126728789,2024-02-12,KGX,ABD,1600,2020,GR
202402136728789,2024-02-13,KGX,ABD,1600,2020,GR
202402146728789,2024-02-14,KGX,ABD,1600,2020,GR
202402156728789,2024-02-15,KGX,ABD,1600,2020,GR
202402166728789,2024-02-16,KGX,ABD,1600,2020,GR
202402126728837,2024-02-12,KGX,EDB,1630,2114,GR
202402136728837,2024-02-13,KGX,EDB,1630,2114,GR
202402146728837,2024-02-14,KGX,EDB,1630,2114,GR
202402156728837,2024-02-15,KGX,EDB,1630,2114,GR
202402166728837,2024-02-16,KGX,EDB,1630,2114,GR
202402126728855,2024-02-12,KGX,EDB,1700,2124,GR
202402136728855,2024-02-13,KGX,EDB,1700,2124,GR
202402146728855,2024-02-14,KGX,EDB,1700,2124,GR
202402156728855,2024-02-15,KGX,EDB,1700,2124,GR
